plotid,Abba,Acpe,Acru,Acsa,Belu,Bepa,Fram,Frni,Osvi,Pigl,Pist,Pogr,Qubo,Thoc,Tiam,Tsca,Ulam,Grand Total
7088,,,,60,1,,,,,,,,,,15,1,1,78
7089,,,,33,1,,,,,,,,,,,,,34
7090,,6,,44,1,,,,1,,,,,,3,,,55
7091,,,,3,5,,,,,,,,,,2,32,,42
7092,,,,8,1,,,,,,,,,,4,24,,37
7093,,,1,4,8,,,,,,,,,,1,51,,65
7094,,,2,10,3,,,,2,,,,,,3,52,,72
7095,,,4,3,1,,,,,,,3,,1,1,54,,67
7096,,,,9,2,,,,1,,1,,,,8,52,,73
7097,,,,35,,,,,1,,,,,,,1,,37
7098,,16,,26,1,,,,6,,,,,,,,,49
7099,1,3,,24,3,,,,6,,,,,,6,5,,48
7100,,,,27,,,,,10,,,,,,2,5,,44
7101,,,,24,,,,,,,,,,,1,1,,26
7102,,,,13,3,,,,1,,,,,,2,33,,52
7103,,1,,14,2,,,,8,,,,,,2,5,,32
7104,,,,11,1,,,,2,,,,,,1,35,,50
7105,,,1,8,1,,,,,,,,2,,2,43,,57
7106,1,,5,16,6,,1,,1,,,,,,1,47,1,79
