bess,port_1,port_2,port_3
2019-07-08 11:45,0.066,0.044,0.060
2019-07-08 12:00,0.073,0.048,0.068
2019-07-08 12:15,0.072,0.049,0.068
2019-07-08 12:30,0.072,0.049,0.068
2019-07-08 12:45,0.073,0.049,0.069
2019-07-08 13:00,0.074,0.049,0.069
2019-07-08 13:15,0.074,0.049,0.069
2019-07-08 13:30,0.074,0.049,0.069
2019-07-08 13:45,0.074,0.049,0.069
2019-07-08 14:00,0.074,0.049,0.069
2019-07-08 14:15,0.074,0.049,0.069
2019-07-08 14:30,0.074,0.049,0.069
2019-07-08 14:45,0.074,0.049,0.069
2019-07-08 15:00,0.074,0.049,0.069
2019-07-08 15:15,0.074,0.049,0.069
2019-07-08 15:30,0.074,0.049,0.069
2019-07-08 15:45,0.075,0.049,0.069
2019-07-08 16:00,0.075,0.049,0.068
2019-07-08 16:15,0.075,0.049,0.068
2019-07-08 16:30,0.075,0.049,0.068
2019-07-08 16:45,0.075,0.049,0.068
2019-07-08 17:00,0.075,0.049,0.068
2019-07-08 17:15,0.075,0.049,0.068
2019-07-08 17:30,0.075,0.049,0.068
2019-07-08 17:45,0.075,0.049,0.068
2019-07-08 18:00,0.075,0.049,0.068
2019-07-08 18:15,0.075,0.049,0.068
2019-07-08 18:30,0.075,0.049,0.068
2019-07-08 18:45,0.076,0.048,0.068
2019-07-08 19:00,0.076,0.047,0.068
2019-07-08 19:15,0.076,0.047,0.068
2019-07-08 19:30,0.076,0.047,0.068
2019-07-08 19:45,0.076,0.047,0.068
2019-07-08 20:00,0.076,0.047,0.068
2019-07-08 20:15,0.076,0.047,0.068
2019-07-08 20:30,0.076,0.047,0.068
2019-07-08 20:45,0.076,0.047,0.068
2019-07-08 21:00,0.076,0.047,0.068
2019-07-08 21:15,0.076,0.047,0.068
2019-07-08 21:30,0.076,0.047,0.068
2019-07-08 21:45,0.076,0.047,0.068
2019-07-08 22:00,0.076,0.047,0.068
2019-07-08 22:15,0.076,0.047,0.068
2019-07-08 22:30,0.076,0.047,0.068
2019-07-08 22:45,0.076,0.047,0.068
2019-07-08 23:00,0.076,0.047,0.068
2019-07-08 23:15,0.076,0.047,0.068
2019-07-08 23:30,0.076,0.047,0.068
2019-07-08 23:45,0.076,0.047,0.068
2019-07-09 0:00,0.076,0.047,0.068
2019-07-09 0:15,0.076,0.047,0.068
2019-07-09 0:30,0.076,0.047,0.068
2019-07-09 0:45,0.076,0.047,0.068
2019-07-09 1:00,0.076,0.047,0.068
2019-07-09 1:15,0.076,0.047,0.068
2019-07-09 1:30,0.076,0.048,0.068
2019-07-09 1:45,0.076,0.047,0.068
2019-07-09 2:00,0.076,0.047,0.068
2019-07-09 2:15,0.076,0.047,0.068
2019-07-09 2:30,0.076,0.048,0.068
2019-07-09 2:45,0.076,0.047,0.067
2019-07-09 3:00,0.076,0.048,0.067
2019-07-09 3:15,0.076,0.047,0.067
2019-07-09 3:30,0.076,0.047,0.067
2019-07-09 3:45,0.077,0.048,0.067
2019-07-09 4:00,0.077,0.047,0.067
2019-07-09 4:15,0.077,0.048,0.067
2019-07-09 4:30,0.077,0.048,0.067
2019-07-09 4:45,0.077,0.048,0.067
2019-07-09 5:00,0.077,0.048,0.067
2019-07-09 5:15,0.077,0.048,0.067
2019-07-09 5:30,0.077,0.048,0.067
2019-07-09 5:45,0.077,0.048,0.067
2019-07-09 6:00,0.077,0.048,0.067
2019-07-09 6:15,0.077,0.048,0.067
2019-07-09 6:30,0.077,0.048,0.067
2019-07-09 6:45,0.077,0.048,0.067
2019-07-09 7:00,0.077,0.048,0.067
2019-07-09 7:15,0.077,0.048,0.067
2019-07-09 7:30,0.077,0.048,0.067
2019-07-09 7:45,0.077,0.048,0.067
2019-07-09 8:00,0.077,0.048,0.067
2019-07-09 8:15,0.077,0.048,0.067
2019-07-09 8:30,0.077,0.048,0.067
2019-07-09 8:45,0.077,0.048,0.067
2019-07-09 9:00,0.077,0.048,0.067
2019-07-09 9:15,0.077,0.048,0.067
2019-07-09 9:30,0.077,0.048,0.067
2019-07-09 9:45,0.077,0.048,0.067
2019-07-09 10:00,0.077,0.047,0.067
2019-07-09 10:15,0.077,0.047,0.067
2019-07-09 10:30,0.077,0.047,0.067
2019-07-09 10:45,0.077,0.047,0.067
2019-07-09 11:00,0.077,0.047,0.067
2019-07-09 11:15,0.077,0.047,0.067
2019-07-09 11:30,0.077,0.047,0.067
2019-07-09 11:45,0.077,0.047,0.067
2019-07-09 12:00,0.077,0.047,0.067
2019-07-09 12:15,0.077,0.047,0.067
2019-07-09 12:30,0.077,0.047,0.067
2019-07-09 12:45,0.077,0.047,0.067
2019-07-09 13:00,0.077,0.047,0.067
2019-07-09 13:15,0.077,0.047,0.067
2019-07-09 13:30,0.077,0.047,0.067
2019-07-09 13:45,0.077,0.046,0.067
2019-07-09 14:00,0.077,0.046,0.067
2019-07-09 14:15,0.077,0.046,0.067
2019-07-09 14:30,0.077,0.045,0.067
2019-07-09 14:45,0.077,0.046,0.066
2019-07-09 15:00,0.077,0.045,0.066
2019-07-09 15:15,0.077,0.045,0.066
2019-07-09 15:30,0.077,0.045,0.066
2019-07-09 15:45,0.077,0.045,0.066
2019-07-09 16:00,0.077,0.045,0.066
2019-07-09 16:15,0.077,0.045,0.066
2019-07-09 16:30,0.077,0.045,0.066
2019-07-09 16:45,0.077,0.045,0.066
2019-07-09 17:00,0.077,0.045,0.066
2019-07-09 17:15,0.077,0.045,0.066
2019-07-09 17:30,0.077,0.045,0.066
2019-07-09 17:45,0.077,0.045,0.066
2019-07-09 18:00,0.077,0.045,0.066
2019-07-09 18:15,0.077,0.045,0.066
2019-07-09 18:30,0.077,0.045,0.066
2019-07-09 18:45,0.077,0.045,0.066
2019-07-09 19:00,0.077,0.045,0.066
2019-07-09 19:15,0.077,0.045,0.066
2019-07-09 19:30,0.077,0.045,0.066
2019-07-09 19:45,0.077,0.045,0.066
2019-07-09 20:00,0.077,0.045,0.066
2019-07-09 20:15,0.077,0.045,0.066
2019-07-09 20:30,0.077,0.045,0.066
2019-07-09 20:45,0.077,0.045,0.066
2019-07-09 21:00,0.077,0.045,0.066
2019-07-09 21:15,0.077,0.045,0.066
2019-07-09 21:30,0.077,0.045,0.066
2019-07-09 21:45,0.077,0.045,0.066
2019-07-09 22:00,0.077,0.045,0.066
2019-07-09 22:15,0.077,0.045,0.066
2019-07-09 22:30,0.077,0.045,0.066
2019-07-09 22:45,0.077,0.045,0.066
2019-07-09 23:00,0.077,0.045,0.066
2019-07-09 23:15,0.077,0.045,0.066
2019-07-09 23:30,0.077,0.045,0.066
2019-07-09 23:45,0.077,0.045,0.066
2019-07-10 0:00,0.077,0.045,0.066
2019-07-10 0:15,0.078,0.045,0.066
2019-07-10 0:30,0.078,0.045,0.066
2019-07-10 0:45,0.078,0.045,0.066
2019-07-10 1:00,0.078,0.045,0.066
2019-07-10 1:15,0.078,0.045,0.066
2019-07-10 1:30,0.078,0.045,0.066
2019-07-10 1:45,0.078,0.045,0.066
2019-07-10 2:00,0.078,0.045,0.066
2019-07-10 2:15,0.078,0.045,0.066
2019-07-10 2:30,0.078,0.045,0.066
2019-07-10 2:45,0.078,0.045,0.066
2019-07-10 3:00,0.078,0.045,0.066
2019-07-10 3:15,0.078,0.045,0.066
2019-07-10 3:30,0.078,0.045,0.066
2019-07-10 3:45,0.078,0.045,0.066
2019-07-10 4:00,0.078,0.045,0.066
2019-07-10 4:15,0.079,0.045,0.066
2019-07-10 4:30,0.079,0.045,0.066
2019-07-10 4:45,0.079,0.045,0.066
2019-07-10 5:00,0.079,0.045,0.066
2019-07-10 5:15,0.079,0.045,0.066
2019-07-10 5:30,0.079,0.045,0.066
2019-07-10 5:45,0.079,0.045,0.066
2019-07-10 6:00,0.079,0.045,0.066
2019-07-10 6:15,0.079,0.045,0.066
2019-07-10 6:30,0.079,0.045,0.066
2019-07-10 6:45,0.079,0.045,0.066
2019-07-10 7:00,0.079,0.045,0.066
2019-07-10 7:15,0.079,0.045,0.066
2019-07-10 7:30,0.079,0.045,0.066
2019-07-10 7:45,0.079,0.045,0.066
2019-07-10 8:00,0.079,0.045,0.066
2019-07-10 8:15,0.079,0.045,0.066
2019-07-10 8:30,0.079,0.045,0.066
2019-07-10 8:45,0.079,0.045,0.066
2019-07-10 9:00,0.079,0.045,0.066
2019-07-10 9:15,0.079,0.045,0.066
