"Plot Title: 17"
"#","Date Time, GMT-04:00","Temp, °C","Bad Battery","Coupler Attached","Host Connected","Stopped","End Of File"
1,19/07/19 11:00:00,28.953,,,,,
2,19/07/19 11:15:00,29.252,,,,,
3,19/07/19 11:30:00,29.452,,,,,
4,19/07/19 11:45:00,29.152,,,,,
5,19/07/19 12:00:00,28.953,,,,,
6,19/07/19 12:15:00,28.754,,,,,
7,19/07/19 12:30:00,28.555,,,,,
8,19/07/19 12:45:00,28.456,,,,,
9,19/07/19 13:00:00,28.357,,,,,
10,19/07/19 13:15:00,28.357,,,,,
11,19/07/19 13:30:00,28.357,,,,,
12,19/07/19 13:45:00,28.357,,,,,
13,19/07/19 14:00:00,28.555,,,,,
14,19/07/19 14:15:00,28.357,,,,,
15,19/07/19 14:30:00,27.665,,,,,
16,19/07/19 14:45:00,29.452,,,,,
17,19/07/19 15:00:00,29.452,,,,,
18,19/07/19 15:15:00,33.222,,,,,
19,19/07/19 15:30:00,31.778,,,,,
20,19/07/19 15:45:00,31.676,,,,,
21,19/07/19 16:00:00,31.676,,,,,
22,19/07/19 16:15:00,31.983,,,,,
23,19/07/19 16:30:00,32.086,,,,,
24,19/07/19 16:45:00,31.983,,,,,
25,19/07/19 17:00:00,31.880,,,,,
26,19/07/19 17:15:00,31.676,,,,,
27,19/07/19 17:30:00,31.268,,,,,
28,19/07/19 17:45:00,31.064,,,,,
29,19/07/19 18:00:00,30.862,,,,,
30,19/07/19 18:15:00,30.862,,,,,
31,19/07/19 18:30:00,30.054,,,,,
32,19/07/19 18:45:00,29.652,,,,,
33,19/07/19 19:00:00,29.152,,,,,
34,19/07/19 19:15:00,28.853,,,,,
35,19/07/19 19:30:00,28.555,,,,,
36,19/07/19 19:45:00,28.258,,,,,
37,19/07/19 20:00:00,27.961,,,,,
38,19/07/19 20:15:00,27.862,,,,,
39,19/07/19 20:30:00,27.272,,,,,
40,19/07/19 20:45:00,26.781,,,,,
41,19/07/19 21:00:00,26.390,,,,,
42,19/07/19 21:15:00,26.097,,,,,
43,19/07/19 21:30:00,25.902,,,,,
44,19/07/19 21:45:00,25.610,,,,,
45,19/07/19 22:00:00,25.319,,,,,
46,19/07/19 22:15:00,24.931,,,,,
47,19/07/19 22:30:00,24.738,,,,,
48,19/07/19 22:45:00,24.448,,,,,
49,19/07/19 23:00:00,24.255,,,,,
50,19/07/19 23:15:00,24.158,,,,,
51,19/07/19 23:30:00,23.966,,,,,
52,19/07/19 23:45:00,23.773,,,,,
53,19/07/20 00:00:00,23.677,,,,,
54,19/07/20 00:15:00,23.773,,,,,
55,19/07/20 00:30:00,23.869,,,,,
56,19/07/20 00:45:00,23.677,,,,,
57,19/07/20 01:00:00,23.484,,,,,
58,19/07/20 01:15:00,23.388,,,,,
59,19/07/20 01:30:00,23.388,,,,,
60,19/07/20 01:45:00,23.388,,,,,
61,19/07/20 02:00:00,23.388,,,,,
62,19/07/20 02:15:00,23.966,,,,,
