zone	easting	northing	name
16T	431546.11	5190901.46	tsca82221.5
16T	431320.08	5190876.57	belu3421.6
16T	431447.52	5190840.57	tsca34221.6
16T	431473	5190868.99	acsa91021.6
16T	431455.57	5190808.65	acsa29121.7
16T	431474.78	5190839.67	tsca38321.7
16T	431475.66	5190910.81	tsca61421.7
16T	431479.73	5190924.66	tsca74721.7
16T	431500.64	5190936.72	tsca60621.7
16T	431455.48	5190845.25	tsca33821.8
16T	431466.69	5190854.15	tsca90221.8
16T	431503.46	5190940.49	tsca60221.8
16T	431351.03	5190834.39	tsca38821.9
16T	431451.61	5190846.48	tsca30521.9
16T	431546.85	5190908.01	tsca69421.9
16T	431340.67	5190870.95	acsa1622
16T	431453.92	5190861.55	tsca31222
16T	431481.19	5190901.86	tsca58522
16T	431458.76	5190846.19	tsca33722.1
16T	431488.4	5190871.54	tsca55122.1
16T	431438.33	5190871.69	tsca4822.2
16T	431484.11	5190899.13	tsca58422.2
16T	431316.39	5190861.93	tsca5922.3
16T	431335.04	5190875.86	tsca1022.3
16T	431491.17	5190949.38	belu61722.4
16T	431352.31	5190857.83	tsca28622.5
16T	431455.42	5190815.96	tsca29522.5
16T	431487.55	5190840.47	tsca39122.5
16T	431502.17	5190856.73	tsca51922.5
16T	431534.87	5190862.7	tsca51322.5
16T	431543.29	5190899.29	acsa83022.5
16T	431339.03	5190851.71	tsca29522.6
16T	431533.92	5190890.47	tsca54822.6
16T	431531.34	5190936.64	acsa65522.6
16T	431360.67	5190838.15	tsca39222.7
16T	431413.31	5190871.5	acsa49722.7
16T	431503.79	5190871.14	tsca66322.7
16T	431533.03	5190863.46	tsca51722.7
16T	431468.73	5190879.53	tsca93222.8
16T	431341.57	5190837.73	tsca39622.9
16T	431368.08	5190839.93	acsa41622.9
16T	431445.92	5190860.61	acsa31422.9
16T	431519.32	5190852.98	tsca63822.9
16T	431408.85	5190815.27	acsa50523
16T	431449.98	5190898.32	tsca26523
16T	431476.26	5190826.48	acsa37923
16T	431381.75	5190854.17	acsa62323.1
16T	431426.66	5190854.25	tsca42823.1
16T	431318.19	5190875.99	tsca5323.2
16T	431485.51	5190827.72	belu37223.2
16T	431527.36	5190911	tsca67623.2
16T	431421.37	5190906.64	tsca42023.3
16T	431451.34	5190906.34	tsca96023.3
16T	431485.49	5190877.24	tsca55623.4
16T	431326.34	5190866.79	tsca023.5
16T	431413.48	5190856.28	tsca54623.5
16T	431434.9	5190878.79	tiam4323.5
16T	431339.93	5190855.93	tsca29123.6
16T	431442.32	5190896.08	tsca47423.6
16T	431357.46	5190788.75	acsa23123.7
16T	431391.14	5190872.67	tiam53823.7
16T	431440.21	5190832.71	acsa41623.8
16T	431472.78	5190920.91	tsca77623.8
16T	431379.05	5190830.59	acsa43923.9
16T	431449.96	5190814.55	acsa29623.9
16T	431505.62	5190910.17	belu56123.9
16T	431402.81	5190795.46	belu49224
16T	431440.14	5190888.33	tsca46624
16T	431504.76	5190869.05	tsca66424
16T	431498.38	5190938.46	tsca60824
16T	431499.02	5190949.16	tsca62324
16T	431531.51	5190871.99	tsca50124
16T	431518.02	5190957.87	tsca69224
16T	431391.13	5190898.38	acsa80824.1
16T	431541.41	5190890.66	tsca86024.1
16T	431429.39	5190794.06	tsca27524.2
16T	431518.28	5190867.14	tsca64724.2
16T	431529.03	5190896.78	acsa54024.2
16T	431499.39	5190853.91	tsca51724.3
16T	431529.3	5190930.44	belu65424.3
16T	431405.38	5190792.51	tsca49624.4
16T	431474.83	5190897.1	tsca59124.4
16T	431488.8	5190860.76	tsca53924.5
16T	431526.17	5190891.11	tsca54224.5
16T	431535.08	5190864.15	tsca51224.5
16T	431524.69	5190948.14	tsca63624.5
16T	431340.37	5190815.34	acsa21524.6
16T	431331.91	5190852.2	tsca26924.7
16T	431394.29	5190894.22	tsca80424.8
16T	431465.56	5190924.31	tsca77124.8
16T	431328.51	5190823.73	acsa24124.9
16T	431450.33	5190892.96	tsca94924.9
16T	431461.4	5190909.91	belu62724.9
16T	431407.64	5190823.56	tsca50725
16T	431470.9	5190815.71	tsca35125
16T	431468.73	5190879.53	tsca93325
16T	431489.46	5190942.7	tsca75825
16T	431507.24	5190875.31	tsca66825
16T	431533.67	5190870.48	tsca50325
16T	431396.2	5190845.92	acsa61625.1
16T	431521.76	5190911.36	tsca56625.1
16T	431356.22	5190887.8	osvi7025.2
16T	431488.44	5190946.16	tsca76025.2
16T	431517.24	5190864.82	tsca64825.2
16T	431352.42	5190819.86	acsa37325.3
16T	431458.03	5190927.49	belu79025.3
16T	431506.85	5190875.24	tsca66725.3
16T	431530.28	5190882.26	tsca55225.3
16T	431447.5	5190842.81	acsa34125.4
16T	431311.6	5190856.45	tsca5025.5
16T	431396.6	5190824.46	acsa60125.5
16T	431454.93	5190928.91	tsca79125.5
16T	431473.92	5190936.66	tsca76725.5
16T	431335.89	5190800.28	tsca20625.6
16T	431350.64	5190885.63	tsca6925.6
16T	431490.97	5190851.74	tsca53325.6
16T	431506.39	5190854.83	tsca62925.6
16T	431407.64	5190789.49	tsca48325.7
16T	431443.81	5190905.69	tcsa96425.7
16T	431535.06	5190858.66	tsca51925.7
16T	431518.09	5190933.85	belu66225.7
16T	431329.68	5190854.37	acsa27025.8
16T	431367.83	5190839.49	tsca41725.8
16T	431411.27	5190830.99	tsca55625.8
16T	431428.82	5190809.22	tsca28125.8
16T	431500.22	5190915.4	belu73025.8
16T	431522.8	5190906.63	tsca56825.8
16T	431321.92	5190871.67	tsca3625.9
16T	431326.89	5190843.21	tiam26526
16T	431387.85	5190799.88	acsa44726
16T	431413.56	5190899.39	tiam93226
16T	431520.23	5190942.48	acsa64626
16T	431354.49	5190850.96	tsca28426.1
16T	431492.01	5190867.06	tsca54226.1
16T	431459.55	5190854.24	tsca31726.2
16T	431494	5190868.46	tsca54726.2
16T	431311.14	5190854.52	tsca4826.3
16T	431348.56	5190885.66	tsca6726.3
16T	431453.55	5190828.35	tsca32126.3
16T	431494.07	5190873.51	tsca55026.3
16T	431317.1	5190866.93	tsca6326.4
16T	431423.26	5190839.88	acsa56026.4
16T	431478.69	5190890.44	tsca59526.5
16T	431515.89	5190853.68	tsca63726.5
16T	431375.66	5190850.22	acsa42526.6
16T	431454.01	5190852.21	tsca30726.6
16T	431515.75	5190859.42	tsca026.7
16T	431527.61	5190896.01	tsca53826.7
16T	431531.22	5190860.15	acsa52126.7
16T	431434.71	5190857.32	acsa42326.8
16T	431459.51	5190891.54	tsca94126.8
16T	431499.84	5190829.51	tsca60026.8
16T	431500.33	5190930.4	tsca59126.8
16T	431375.14	5190890.2	tsca8526.9
16T	431395.16	5190811.69	acsa51226.9
16T	431421.37	5190812.43	acsa26626.9
16T	431515.43	5190897.77	tsca57926.9
16T	431481.55	5190938.53	tsca76427
16T	431504.81	5190941.86	acsa60127
16T	431366.43	5190806.46	acsa35327.1
16T	431363.51	5190846.51	tsca42827.1
16T	431460.77	5190829.56	tsca32627.2
16T	431465.51	5190871.94	tsca91427.2
16T	431318.52	5190851.98	tsca27627.4
16T	431365.92	5190795.49	acsa34527.4
16T	431441.58	5190857.69	acsa31627.4
16T	431484.05	5190929.16	tsca75027.4
16T	431449.06	5190929.3	tsca20427.5
16T	431314.03	5190851.46	tsca27727.7
16T	431429.08	5190880.77	acsa44827.7
16T	431429.48	5190883.18	tsca46127.7
16T	431446.38	5190844.13	tsca30127.7
16T	431516.82	5190907.94	tsca55727.7
16T	431514.81	5190933.26	tsca66327.7
16T	431390.19	5190868.71	acsa52127.8
16T	431413.58	5190807.67	acsa50127.8
16T	431403.42	5190899.63	acsa95027.8
16T	431503.92	5190849.62	tsca51427.8
16T	431538.07	5190931.25	acsa67527.9
16T	431552.24	5190893.07	tsca82427.9
16T	431308.86	5190871.14	tsca3928
16T	431363.62	5190768.4	tiam31028
16T	431466.89	5190873.61	tsca91328
16T	431483.99	5190876.11	tsca55728
16T	431365.16	5190800.9	acsa35528.1
16T	431410.18	5190892.06	acsa45528.1
16T	431457.1	5190813.39	tsca29428.1
16T	431454.26	5190895.17	acsa95128.1
16T	431515.01	5190880.32	tsca67328.1
16T	431519.67	5190869.33	tsca64528.1
16T	431336.75	5190821.98	acsa24728.2
16T	431358.71	5190873.11	tsca7428.2
16T	431547.76	5190907.67	tsca81528.2
16T	431504.15	5190953.66	tsca63128.3
16T	431386.62	5190830.22	acsa61428.5
16T	431439.84	5190842.5	acsa41828.5
16T	431445.45	5190921.77	tiam92528.5
16T	431478.47	5190872.06	tsca56428.5
16T	431495.45	5190951.67	acsa62028.5
16T	431404.01	5190786.84	acsa48228.7
16T	431342.8	5190868.72	acsa2228.8
16T	431397.02	5190858.46	acsa55228.9
16T	431511.89	5190920.17	tsca59728.9
16T	431404.77	5190876.73	acsa53329
16T	431320.75	5190865.65	belu4229.2
16T	431309.47	5190858.86	tsca4029.2
16T	431342.04	5190842.37	acsa39729.2
16T	431462.2	5190832.62	tiam32929.2
16T	431470.51	5190840.05	tsca39829.2
16T	431419.93	5190844.62	acsa56129.3
16T	431461.51	5190867.6	tsca91729.3
16T	431497.92	5190923.48	tsca73429.4
16T	431523.44	5190916.68	acsa67829.4
16T	431411.05	5190894.5	tsca93129.5
16T	431427.25	5190825.62	acsa029.7
16T	431544.6	5190911.85	acsa69029.7
16T	431412.71	5190890.06	acsa45129.8
16T	431414.96	5190793.64	acsa48530
16T	431443.8	5190800.82	acsa28830.1
16T	431441.19	5190808.81	acsa40130.1
16T	431469.68	5190835.87	tsca33230.2
16T	431447.71	5190894.68	acsa94630.3
16T	431466.69	5190920.27	tsca77230.3
16T	431411.7	5190851.65	acsa54530.4
16T	431438.15	5190924.29	acsa92730.4
16T	431396.07	5190847.5	acsa61830.5
16T	431404.31	5190804.29	acsa50030.5
16T	431413.23	5190860.58	acsa54430.5
16T	431486.52	5190827.63	tsca37130.5
16T	431479.57	5190888.46	tsca56830.5
16T	431499.76	5190898.09	tsca71230.5
16T	431514.34	5190862.74	belu65230.5
16T	431524.45	5190905.88	tsca56930.5
16T	431519.81	5190917.08	tsca56430.5
16T	431371.56	5190862.93	tsca30030.7
16T	431411.74	5190816.95	acsa50430.7
16T	431473.69	5190859.37	tsca90430.7
16T	431397.32	5190832.86	acsa60730.8
16T	431439.12	5190878.27	acsa50030.8
16T	431521.28	5190902.86	tsca57130.8
16T	431535.72	5190883.92	tsca54930.8
16T	431470.04	5190903.95	belu60330.9
16T	431486.49	5190879.91	tsca55430.9
16T	431510.34	5190870.81	tsca67130.9
16T	431533.05	5190869.11	tsca51631
16T	431533.81	5190917.28	tsca68131
16T	431347.48	5190786.7	acsa22731.1
16T	431366.06	5190834.49	acsa41831.1
16T	431528.44	5190925.44	acsa67031.1
16T	431496.03	5190884.63	tsca68731.2
16T	431521.77	5190856.91	tiam64331.2
16T	431503.37	5190950.55	tsca62931.2
16T	431431.1	5190865.82	acsa43331.3
16T	431433.28	5190835.52	acsa40331.3
16T	431453.64	5190880.58	acsa94531.3
16T	431419.42	5190872.46	acsa44231.5
16T	431462.64	5190829.29	tsca32731.5
16T	431447.71	5190906.02	tcsa96331.6
16T	431531.32	5190899.59	tsca86231.6
16T	431403.4	5190833.53	acsa60631.7
16T	431430.58	5190846.58	tsca43031.7
16T	431529.3	5190873.75	tsca52831.7
16T	431484.81	5190820.72	acsa36731.8
16T	431461.89	5190925.35	belu79331.8
16T	431509.17	5190954.82	tsca64331.8
16T	431477.99	5190851.53	acsa39431.9
16T	431484.11	5190944.28	acsa76331.9
16T	431518.93	5190920.31	tsca59932
16T	431513.99	5190911.84	tsca56332
16T	431454.8	5190882.16	tsca94432.1
16T	431495.23	5190843.27	tsca50832.2
16T	431491.29	5190898.45	tsca72032.2
16T	431484.16	5190914.66	belu74432.3
16T	431524.47	5190895.49	belu53532.3
16T	431312.65	5190863.97	acsa5732.5
16T	431530.45	5190892.01	tsca54432.5
16T	431480.93	5190837.67	tsca38632.6
16T	431333.54	5190816.87	acsa22132.7
16T	431530.71	5190892.46	tsca54532.7
16T	431474.31	5190831.06	tsca37632.8
16T	431527.11	5190890.37	belu54332.8
16T	431538.05	5190918.68	acsa68232.8
16T	431316.53	5190842.42	tsca28033
16T	431393.16	5190818.41	acsa51133
16T	431482.43	5190909.93	tsca61333
16T	431381.06	5190789.98	acsa47933.1
16T	431539.5	5190921.75	tsca82333.2
16T	431360.32	5190869.29	acsa40933.3
16T	431385.06	5190837.69	acsa61233.4
16T	431403.1	5190783.04	acsa47033.5
16T	431401.25	5190875.91	acsa53133.5
16T	431435.09	5190825.84	acsa41333.5
16T	431507.32	5190897.57	acsa70633.5
16T	431526.97	5190912.31	acsa67733.7
16T	431383.26	5190792.3	acsa47833.8
16T	431457.62	5190922.92	tsca79233.8
16T	431378.16	5190836.29	acsa42033.9
16T	431490.67	5190886.93	belu57633.9
16T	431352.89	5190767.45	acsa30234
16T	431465.89	5190885.15	tsca93734
16T	431491.66	5190825.09	tsca36834
16T	431400.02	5190784.06	acsa46934.1
16T	431426.98	5190812	acsa28234.1
16T	431444.46	5190915.55	tsca57434.1
16T	431523.43	5190920.31	acsa66634.1
16T	431431.93	5190799.31	tsca27634.2
16T	431422.98	5190884.96	acsa4534.2
16T	431490.75	5190839.74	tsca50634.2
16T	431506.05	5190823.13	acsa59334.2
16T	431435	5190896.73	acsa47834.3
16T	431442.32	5190851.02	belu32034.3
16T	431513.28	5190950.94	acsa64034.3
16T	431548.98	5190891.59	tsca81934.3
16T	431393.29	5190900.33	acsa80734.4
16T	431438.11	5190895.78	tsca47634.4
16T	431333.36	5190840.27	acsa26634.5
16T	431418.45	5190817.61	acsa26534.5
16T	431481.67	5190883.96	acsa57334.6
16T	431504.41	5190880.98	acsa68634.7
16T	431468.29	5190912.46	belu62434.8
16T	431374.67	5190785.97	acsa33335
16T	431430.05	5190886.76	belu42035
16T	431451.86	5190854.97	acsa30435
16T	431453.85	5190828.52	belu32235
16T	431458.79	5190926.98	tsca78935
16T	431499.42	5190821.16	belu59535
16T	431510.04	5190888.76	tiam67935
16T	431366.12	5190871.27	acsa40335.1
16T	431474.71	5190894.69	belu59335.1
16T	431495.69	5190939.91	belu60935.3
16T	431345.91	5190852.1	tsca28135.5
16T	431454.43	5190866.84	acsa31135.5
16T	431369.72	5190790.17	belu34635.6
16T	431515.98	5190940.31	acsa64435.6
16T	431433.62	5190840.24	tsca41935.7
16T	431466.1	5190902.9	tsca60135.7
16T	431482.31	5190818.6	tsca36535.8
16T	431533.61	5190862.64	acsa51835.8
16T	431493.17	5190863.16	belu54336
16T	431361.63	5190862.4	acsa40836.1
16T	431378.25	5190841.26	acsa42136.1
16T	431466.58	5190858.05	acsa90136.2
16T	431400.47	5190877.91	acsa53236.3
16T	431462.54	5190862.72	tsca92136.5
16T	431341.92	5190799.88	acsa20736.6
16T	431376.13	5190892.48	tiam8436.6
16T	431494.57	5190850.17	tiam50136.7
16T	431370.62	5190877.67	tiam9436.8
16T	431465.98	5190844.92	acsa33637
16T	431461.03	5190813.36	acsa34737
16T	431485.52	5190929.68	tiam75137
16T	431390.94	5190784.62	acsa46337.1
16T	431454.04	5190827.2	belu32537.1
16T	431487.88	5190925.33	tsca73737.1
16T	431483.77	5190856.81	acsa53137.2
16T	431487.83	5190884.22	asca57437.3
16T	431475.52	5190882.03	belu56937.4
16T	431359.13	5190798.23	acsa35937.5
16T	431434.97	5190872.4	acsa4737.5
16T	431424.33	5190868.03	acsa49837.6
16T	431343.99	5190878.06	acsa2037.8
16T	431345.67	5190797.05	acsa23537.9
16T	431376.22	5190854.37	acsa62437.9
16T	431500.66	5190842.79	tsca58037.9
16T	431518.28	5190939.88	belu63938
16T	431482.22	5190936.18	acsa76538.1
16T	431462	5190837.64	acsa33338.4
16T	431508.32	5190933.86	acsa59238.5
16T	431494.96	5190909.32	acsa72538.7
16T	431484.04	5190903.53	tsca61138.8
16T	431369.83	5190878.36	tiam9538.9
16T	431361.35	5190815.57	acsa36939.1
16T	431429.45	5190851.53	acsa42639.2
16T	431310.57	5190865.28	acsa4139.4
16T	431431.88	5190860.33	tiam43639.4
16T	431367.34	5190781.59	acsa34039.5
16T	431339.92	5190832.33	acsa24939.7
16T	431375.07	5190892.39	tiam8339.8
16T	431390.53	5190840.56	acsa61039.8
16T	431419.81	5190798.6	tiam48739.8
16T	431416.18	5190881.02	acsa44439.8
16T	431459.84	5190890.18	belu94240.2
16T	431365.01	5190843.08	acsa42940.3
16T	431469.33	5190924.89	acsa77440.3
16T	431465.84	5190848.09	tsca39740.4
16T	431331.6	5190849.58	acsa26840.7
16T	431466.3	5190861.76	tsca92340.7
16T	431538.86	5190897.23	acsa70040.8
16T	431476.63	5190839.51	belu38440.9
16T	431491.45	5190829.6	acsa37040.9
16T	431534.7	5190893.39	belu82841
16T	431360.45	5190809.01	acsa36341.1
16T	431435.46	5190911.43	tiam41741.3
16T	431516.6	5190918.77	acsa59841.5
16T	431358.99	5190778.69	acsa31741.6
16T	431441.4	5190889.65	acsa97041.8
16T	431443.81	5190847.78	tsca4941.8
16T	431358.45	5190863.19	belu41341.9
16T	431358.03	5190850.85	tiam29742
16T	431371.37	5190853.09	acsa42642
16T	431449.64	5190876.67	acsa49142
16T	431416.52	5190893.47	acsa45442.2
16T	431448.53	5190823.7	acsa40942.2
16T	431533.2	5190927.46	acsa67342.2
16T	431368.25	5190875.79	tiam52442.3
16T	431426.4	5190919.71	acsa41342.3
16T	431450.56	5190858.42	tsca31342.3
16T	431477.54	5190906.7	tiam60942.4
16T	431347.91	5190859.48	acsa28742.5
16T	431369.11	5190778.01	acsa34342.5
16T	431413.2	5190873.25	acsa44342.5
16T	431338.85	5190787.42	acsa24042.7
16T	431523.65	5190881.13	acsa55542.7
16T	431429.39	5190856.27	acsa42542.9
16T	431494.98	5190874.7	belu56742.9
16T	431353.23	5190790.4	acsa23043
16T	431467.28	5190917.21	acsa62643
16T	431477.48	5190814.46	acsa35243.1
16T	431537.61	5190908.36	belu68943.2
16T	431464.33	5190841.83	acsa33543.3
16T	431519.83	5190863.81	acsa64443.3
16T	431464.06	5190885.41	acsa93843.6
16T	431319.43	5190854.08	acsa27443.8
16T	431376.76	5190844.14	acsa42243.8
16T	431387.27	5190809.14	acsa45643.9
16T	431369.43	5190875.68	tiam52344
16T	431392.72	5190850.31	acsa61944.1
16T	431523	5190871.79	belu52744.1
16T	431474.5	5190874.21	acsa91144.2
16T	431500.17	5190933.14	acsa60744.2
16T	431412.29	5190869.51	acsa54844.3
16T	431476.17	5190892.49	acsa62944.5
16T	431411.61	5190907.41	acsa94144.6
16T	431436.73	5190917.57	tiam59744.6
16T	431382.53	5190803.49	acsa44644.8
16T	431496.76	5190867.52	tiam54845
16T	431500.82	5190839.86	acsa58245
16T	431365.11	5190776.87	acsa34245.1
16T	431447.87	5190908.39	belu96245.1
16T	431358.82	5190878.66	acsa7345.2
16T	431432.32	5190902.21	belu74945.5
16T	431495.5	5190944.32	acsa61345.5
16T	431414.7	5190847.06	acsa56345.6
16T	431347.44	5190823.62	acsa38045.7
16T	431495.7	5190862.77	acsa52745.7
16T	431336.04	5190843.69	acsa26745.8
16T	431428.38	5190806.24	acsa28345.8
16T	431494.19	5190856.16	acsa53045.9
16T	431500.17	5190911.41	belu72846
16T	431500.63	5190941.18	tiam60446.2
16T	431520.65	5190926.08	acsa66446.2
16T	431386.78	5190842.44	acsa61546.3
16T	431346.97	5190835.31	belu39946.4
16T	431409.99	5190904.54	acsa94246.6
16T	431446.7	5190878.25	tsca49246.6
16T	431340.85	5190855.53	acsa29046.7
16T	431475.22	5190914.09	belu61646.7
16T	431443.96	5190829.06	acsa41146.8
16T	431515.68	5190956.2	acsa64546.8
16T	431370.05	5190774.27	acsa32347
16T	431394.51	5190810	acsa45347
16T	431436.25	5190801.27	acsa27847
16T	431473.63	5190935.67	acsa76847
16T	431502.86	5190921.13	acsa58947
16T	431373.37	5190880.13	acsa9347.3
16T	431366.71	5190867.53	acsa40247.4
16T	431375.86	5190825.73	tiam44147.4
16T	431385.51	5190815.42	acsa45747.5
16T	431427.78	5190907.05	acsa40147.5
16T	431466.05	5190933.73	belu78347.6
16T	431474.45	5190911.45	acsa61547.7
16T	431519.72	5190880.85	acsa55647.7
16T	431393.24	5190806.99	acsa45247.9
16T	431493.23	5190917.14	belu73147.9
16T	431442.78	5190880.1	acsa49448.2
16T	431486.43	5190839.07	acsa39048.3
16T	431407.35	5190837.07	acsa56648.4
16T	431432.11	5190808.36	acsa28048.6
16T	431494.8	5190882.43	acsa68848.6
16T	431401.44	5190792.37	acsa47248.8
16T	431318.33	5190867.9	acsa6248.9
16T	431413.38	5190901.39	acsa93348.9
16T	431447	5190868.69	belu48648.9
16T	431532.13	5190885.24	acsa54048.9
16T	431344.32	5190807.73	acsa21249
16T	431358.5	5190837.26	belu39049
16T	431343.04	5190794.13	acsa23649.2
16T	431366.98	5190769.78	acsa31149.3
16T	431443.4	5190909.4	acsa57349.3
16T	431445.31	5190860.01	acsa31549.4
16T	431365.85	5190814.43	acsa37049.5
16T	431482.04	5190919.84	acsa74049.7
16T	431436.96	5190868.35	belu48349.8
16T	431339.55	5190872.06	acsa2449.9
16T	431423.13	5190914.91	acsa41649.9
16T	431355.81	5190865.38	acsa41050
16T	431348.13	5190799.98	acsa23450.2
16T	431327.02	5190875.13	acsa1350.2
16T	431391.42	5190881.46	acsa53750.3
16T	431520.96	5190856.84	tiam64250.3
16T	431342.21	5190786.82	acsa21450.4
16T	431364.1	5190848.76	acsa42750.4
16T	431363.93	5190840.9	acsa43250.4
16T	431331.3	5190883.35	acsa2750.5
16T	431349.2	5190862.43	acsa28850.6
16T	431314.9	5190854.88	acsa4650.7
16T	431360.85	5190826.58	acsa37750.7
16T	431490.74	5190836.36	acsa37450.7
16T	431472.29	5190909.53	acsa62250.7
16T	431367.93	5190830.63	acsa44350.8
16T	431406.06	5190801.35	acsa48850.8
16T	431478.59	5190898.74	acsa58850.9
16T	431387.29	5190793.79	acsa47751
16T	431449.56	5190849.32	acsa30251
16T	431507.35	5190871.98	acsa66651.1
16T	431410.37	5190805.85	acpe051.4
16T	431466.11	5190880.24	acsa93551.4
16T	431541.41	5190913.52	tiam69651.4
16T	431503.89	5190833.35	acsa58651.6
16T	431475.06	5190819.73	acsa35551.7
16T	431489.87	5190931.59	acsa75351.7
16T	431367.47	5190853.91	acsa29951.8
16T	431461.43	5190818.37	acsa36051.8
16T	431522.02	5190896.29	acsa53451.8
16T	431537.26	5190912.29	acsa69151.8
16T	431471.59	5190916.8	acsa62052.1
16T	431355.16	5190811.96	acsa36052.5
16T	431382.71	5190880.82	acsa8752.5
16T	431334.42	5190858.31	tiam29252.6
16T	431431.74	5190820.47	acsa26852.6
16T	431338.19	5190851.17	tiam29652.7
16T	431322.2	5190856.31	acsa27252.8
16T	431396.57	5190882.68	tiam53652.8
16T	431481.13	5190878.24	tiam55552.8
16T	431349.86	5190828.18	acsa38753
16T	431391.57	5190872.21	tiam53953
16T	431434.46	5190878.08	tiam4653
16T	431337.14	5190792.02	acsa23853.1
16T	431517.09	5190869.04	acsa65053.1
16T	431374.94	5190865.43	acsa51453.4
16T	431405.9	5190890.8	acsa45653.5
16T	431422.61	5190799.92	acsa28653.6
16T	431359.75	5190839.45	acsa39353.7
16T	431489	5190866.96	acsa54153.8
16T	431387.02	5190823.05	acsa43753.9
16T	431448.04	5190889.7	acsa46953.9
16T	431454.22	5190811.63	acsa29354.1
16T	431481.04	5190894.53	acsa58754.1
16T	431452.68	5190806.35	acsa29054.2
16T	431482.96	5190840.91	acsa38954.2
16T	431337.4	5190881.65	acsa1954.3
16T	431347.03	5190831.78	acsa38354.3
16T	431429.56	5190845.32	acsa41254.3
16T	431396.38	5190819.36	acsa51054.5
16T	431335.62	5190870.62	acsa2354.6
16T	431492.68	5190878.51	tiam55254.7
16T	431520.53	5190888.49	acsa52954.7
16T	431424.36	5190808.16	acsa28454.8
16T	431515.75	5190875.17	acsa67254.8
16T	431412.81	5190835.96	acsa55554.9
16T	431449.36	5190802.86	acsa28955
16T	431326.69	5190827.63	acsa26055.1
16T	431492.05	5190939.35	acsa75655.1
16T	431349.6	5190763.81	acsa30355.2
16T	431423.56	5190890.67	acsa45255.3
16T	431511.29	5190867.29	belu65355.3
16T	431363.03	5190864.76	acsa40755.4
16T	431381.69	5190897.69	acsa81455.4
16T	431407.55	5190855.22	tiam54055.5
16T	431406.3	5190869.15	acsa55055.5
16T	431430.5	5190905.8	acsa40355.5
16T	431470.81	5190828.33	belu35655.7
16T	431376.65	5190862.57	acsa51655.8
16T	431428.95	5190889.08	acsa48255.8
16T	431483.75	5190925.72	acsa74855.8
16T	431532.5	5190919.44	acsa67955.8
16T	431419.31	5190894.87	acsa45355.9
16T	431453.99	5190844.33	acsa34055.9
16T	431463.11	5190904.69	tiam95655.9
16T	431508.22	5190949.11	belu63356
16T	431407.95	5190797.48	acsa48956.1
16T	431457.59	5190891.31	acsa95256.2
16T	431536	5190871.87	acsa50856.2
16T	431375.78	5190805.22	acsa46056.4
16T	431398.83	5190788.02	acsa46856.4
16T	431470.23	5190846.7	acsa39656.4
16T	431322.05	5190839.6	acsa26356.5
16T	431493.28	5190947.3	acsa61556.5
16T	431314.29	5190860.32	acsa5656.6
16T	431418.7	5190863.65	acsa49656.6
16T	431361.21	5190764.15	acsa31856.7
16T	431426.72	5190817.91	acsa26756.8
16T	431509.04	5190888.56	tiam68156.8
16T	431484.79	5190859.86	acsa53857
16T	431321.9	5190848.24	tiam27957.1
16T	431398.89	5190884.51	acsa53557.1
16T	431528.57	5190949.29	acsa65057.1
16T	431515.96	5190865.3	acsa64957.2
16T	431504.38	5190911.79	acsa58557.2
16T	431518.13	5190898.13	acsa57357.2
16T	431428.23	5190851.83	acsa42757.3
16T	431505.86	5190944.3	acsa59657.3
16T	431349.38	5190837.89	acsa39457.4
16T	431402.82	5190822.22	acsa50857.4
16T	431408.44	5190876.25	acsa53457.4
16T	431502.74	5190864.11	acsa65657.4
16T	431327.75	5190830.79	acsa25657.5
16T	431367.84	5190783.56	acsa33857.5
16T	431395.14	5190853.79	acsa62057.5
16T	431439.06	5190844.75	acsa42057.5
16T	431521.28	5190855.82	acsa64157.6
16T	431510.1	5190923.59	acsa57657.8
16T	431447.63	5190847.73	belu5057.9
16T	431511.75	5190880.71	belu67558
16T	431538.55	5190892.96	acsa82958
16T	431369.69	5190879.66	tiam9658.4
16T	431486.14	5190863.13	acsa53758.4
16T	431407.5	5190882.32	acsa45858.5
16T	431332.97	5190871.15	acsa558.7
16T	431403.72	5190856.22	acsa54058.8
16T	431500.08	5190939.9	tiam60558.8
16T	431398.02	5190803.78	acsa49759
16T	431523.92	5190923.17	acsa66859.2
16T	431420.14	5190846.98	acsa56259.3
16T	431421.69	5190863.01	acsa43159.4
16T	431359.59	5190808.37	acsa36259.6
16T	431419.66	5190877.38	acsa44659.7
16T	431488.77	5190908.69	acsa72459.7
16T	431510.28	5190853.18	belu63159.9
16T	431544.54	5190892.08	acsa86159.9
16T	431385.98	5190901.11	acsa81260
16T	431483.14	5190815.14	acsa36460
16T	431331.29	5190829.45	acsa25560.1
16T	431399.77	5190828.7	acsa60260.4
16T	431467.31	5190937.76	acsa78260.4
16T	431384.21	5190805.85	acsa44560.6
16T	431357.43	5190818.95	acsa37160.7
16T	431371.05	5190872.19	acsa52560.7
16T	431349.13	5190844.39	acsa39560.9
16T	431398.18	5190845.11	acsa61760.9
16T	431489.56	5190851.17	acsa53460.9
16T	431529.9	5190941.84	acsa65860.9
16T	431376.34	5190790.95	acsa33561.1
16T	431440.72	5190895	acsa47561.2
16T	431538.01	5190905.42	acsa68761.2
16T	431517.01	5190947.85	tiam63561.5
16T	431440.5	5190905.13	acsa40762.1
