zone	easting	northing	name
16T	431508.85	5190827.95	osvi04
16T	431504.13	5190924.14	acpe04
16T	431492.56	5190905.86	acsa04.1
16T	431381.96	5190774.78	acpe04.2
16T	431504.4	5190924.66	acpe04.2
16T	431409.23	5190797.28	acpe04.3
16T	431471.67	5190826.19	acpe04.3
16T	431390.82	5190793.09	acpe04.5
16T	431416.16	5190888.86	osvi04.5
16T	431472.45	5190822.91	acpe04.5
16T	431502.6	5190931.41	acsa04.5
16T	431335.73	5190800.36	tsca04.6
16T	431370.5	5190827.96	acpe04.6
16T	431484.57	5190916.56	osvi04.6
16T	431543.18	5190922.7	osvi04.6
16T	431382.94	5190770.96	acpe04.7
16T	431382.4	5190774.89	acpe04.7
16T	431382.35	5190777.35	acpe04.7
16T	431388.88	5190793.78	osvi04.7
16T	431374.33	5190786.8	osvi04.8
16T	431392.92	5190797.58	acpe04.8
16T	431415.56	5190804.07	acpe04.8
16T	431403.04	5190895.51	osvi6974.9
16T	431489.47	5190910.26	osvi7234.9
16T	431354.17	5190840.97	acsa05
16T	431368.13	5190797.73	osvi05
16T	431491.01	5190940.52	acsa7575
16T	431545.05	5190885.25	acsa05
16T	431472.19	5190897.42	osvi5925.1
16T	431357.89	5190798.83	osvi05.2
16T	431399.97	5190779.91	acpe05.2
16T	431418.23	5190888.75	acpe05.2
16T	431483.45	5190915.47	osvi7435.2
16T	431401.7	5190817.66	osvi05.3
16T	431400.91	5190878.21	osvi05.3
16T	431418.98	5190885.25	osvi05.5
16T	431338.43	5190790.95	osvi2395.6
16T	431335.27	5190856.83	tsca2935.6
16T	431379.12	5190881.41	osvi925.6
16T	431398.09	5190852.36	osvi05.6
16T	431412.58	5190869.57	acsa5475.6
16T	431361.39	5190773.38	acsa3145.7
16T	431423.88	5190869.36	acsa4995.7
16T	431362.52	5190869.91	tsca4055.8
16T	431407.63	5190853.08	acsa05.8
16T	431413.25	5190829.72	acsa5585.8
16T	431496.99	5190911.06	osvi7275.8
16T	431504.71	5190906.23	osvi7165.9
16T	431351.16	5190763.96	acsa3056
16T	431444.79	5190803.34	osvi06
16T	431529.49	5190873.04	tsca06
16T	431330.86	5190818.15	osvi2446.1
16T	431343.72	5190813.28	osvi06.1
16T	431388.75	5190806.79	acsa4556.1
16T	431470.54	5190905.05	osvi6026.1
16T	431492.93	5190836.5	osvi5786.1
16T	431494.2	5190904.56	osvi7196.1
16T	431518.49	5190954.55	osvi7036.1
16T	431474.47	5190818.55	acsa3546.2
16T	431509.2	5190934.53	osvi5936.2
16T	431395.61	5190858.75	osvi5536.3
16T	431449.55	5190896.38	tsca9686.3
16T	431513.93	5190935.53	osvi5956.3
16T	431503.32	5190907.71	osvi06.3
16T	431373.97	5190789.9	acsa3366.4
16T	431455.06	5190830.15	osvi3236.4
16T	431546.1	5190896.37	osvi8186.4
16T	431318.11	5190875.09	tsca526.5
16T	431381.63	5190770.78	acpe06.5
16T	431391.29	5190797.6	acpe06.5
16T	431429.63	5190878.29	acsa4416.6
16T	431494.06	5190920.05	osvi7326.6
16T	431454.08	5190917.07	osvi5006.8
16T	431526.85	5190942.64	osvi6486.8
16T	431365.08	5190842.03	osvi4316.9
16T	431414.33	5190883	acpe06.9
16T	431509.08	5190949.26	osvi6346.9
16T	431524.06	5190920.82	osvi6676.9
16T	431330.94	5190823.47	osvi2457
16T	431395.36	5190790.17	acsa4737
16T	431393.67	5190793.46	acsa4817
16T	431392.9	5190867.6	osvi5287
16T	431423.39	5190908.86	tsca4197
16T	431529.87	5190903.73	acpe6847
16T	431532.62	5190946.38	osvi6497.1
16T	431418.93	5190838.69	osvi5597.2
16T	431503.79	5190954.03	tsca6307.2
16T	431352.61	5190808.97	osvi3617.3
16T	431391.95	5190809.14	acsa4547.3
16T	431494.7	5190862.32	osvi5287.3
16T	431501.27	5190892.61	tsca7037.3
16T	431530.63	5190859.45	tsca5227.3
16T	431360.01	5190842.92	osvi4307.4
16T	431488.91	5190830.86	acsa3737.4
16T	431482.04	5190875.08	tsca5597.4
16T	431330.89	5190813.69	osvi2177.5
16T	431394.18	5190799.47	acsa4767.5
16T	431428.77	5190918.61	osvi4127.5
16T	431498.99	5190912.67	osvi7297.5
16T	431539.06	5190877.73	osvi5057.5
16T	431549.36	5190897.95	osvi8257.5
16T	431369.52	5190887.03	abba1007.6
16T	431424.05	5190915.91	osvi4157.6
16T	431483.77	5190907.98	tsca6127.6
16T	431473.77	5190880.66	tsca5707.6
16T	431484	5190930.16	tsca7497.6
16T	431503.41	5190912.37	osvi5867.6
16T	431345.81	5190837.04	osvi3987.7
16T	431413.04	5190907.04	osvi9407.7
16T	431430.7	5190920.66	osvi4117.7
16T	431495.87	5190912.38	osvi7267.7
16T	431501.53	5190871.33	tsca6627.7
16T	431439.84	5190917.32	osvi9297.8
16T	431458.11	5190874.67	osvi9277.8
16T	431415.06	5190809.35	acsa5027.9
16T	431433.98	5190855.33	acsa4247.9
16T	431461.35	5190815.42	osvi3597.9
16T	431498.99	5190840.03	osvi5797.9
16T	431502.44	5190856.63	tsca6597.9
16T	431398.83	5190866.62	osvi5298.1
16T	431425.72	5190918.4	osvi4148.1
16T	431479.32	5190876.59	osvi5608.1
16T	431334.44	5190877.88	tsca268.2
16T	431356.38	5190825.29	acsa3728.2
16T	431486.7	5190917.14	osvi7428.2
