latitude	longitude	name
"46.879486,"	"-87.937371,"	7094_11
46.884992	-87.937301	7097-11
46.884598	-87.938654	H2001_3
46.884335	-87.939649	H2001_4
46.882983	-87.934371	7096_11
46.881765	-87.907517	7093
46.881722	-87.905788	7092
46.879879	-87.934824	7095_11
46.875754	-87.884058	7091
46.875618	-87.8833	7090
46.875403	-87.881699	7088
46.872257	-87.886267	H3B
46.871895	-87.886622	H3_1A
46.871891	-87.886609	H3
46.871765	-87.88721	H6A
46.867868	-87.897265	H1_END?
46.867795	-87.899058	7102
46.867632	-87.896917	H1_END2?
46.867587	-87.897461	EXCLOS
46.867567	-87.896907	H1_USEE
46.867563	-87.90003	7101_GOOD
46.867451	-87.900143	7101
46.867261	-87.896996	7104B
46.867237	-87.897031	7104
46.867162	-87.901136	7100
46.866966	-87.901929	7099
46.866525	-87.897186	7105
46.865792	-87.897296	7106
